Subject Area Name,Subject Acronym,Class Number,Class Name
Art ,,1A,Drawing
Art ,,1B,Sculpture
Art ,,11A,Painting
Art ,,11B,Photography
Art ,,11D,New Genres
Art ,,11E,Ceramics
Art ,,31C,Modernism and Its Discontents
Art ,,98T,"Performance, Politics, Pedagogy"
Art ,,130,Advanced Drawing
Art ,,132,Survey of Critical Thought: Lecture 1  
Art ,,133,Advanced Painting
Art ,,137,Advanced New Genres: Studio 1  
Art ,,140,Advanced Printmaking
Art ,,145,Advanced Sculpture
Art ,,147,Advanced Photography
Art ,,148,Advanced Ceramics
Art ,,150,Senior Studio
Art ,,190,Studio/Research Colloquia in Art
Art ,,271,Graduate Painting
Art ,,273,Graduate Sculpture
Art ,,274,Graduate Photography
Art ,,275,Graduate New Genres
Art ,,276,Graduate Group Critique
Art ,,277,Graduate Ceramics
Art ,,278,Interdisciplinary Studio
American Indian Studies,AM IND ,C122XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,M161,Comparative American Indian Societies
American Indian Studies,AM IND ,C222XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,238B,Tribal Legal Development Clinic
American Indian Studies,AM IND ,261,Comparative Indigenous Societies
American Indian Studies,AM IND ,265B,Federal Indian Law I
American Indian Studies,AM IND ,596,Directed Individual Studies
American Indian Studies,AM IND ,598,Research for and Preparation of MA Thesis
American Sign Language,ASL ,3,Elementary American Sign Language
American Sign Language,ASL ,6,Intermediate American Sign Language
American Sign Language,ASL ,M115,Enforcing Normalcy: Deaf and Disability Studies
Asian ,,M20,Visible Language: Study of Writing
Asian ,,M60W,Introduction to Buddhism
Asian ,,191B,"Variable Topics Research Seminars: Buddhist Studies: Pilgrims, Patrons, and the Sacred: Ritual Participation in Japanese Religions"
Asian ,,299,Independent Study
Asian ,,375,Teaching Apprentice Practicum
Asian ,,596,Directed Individual Studies
Asian ,,597,Preparation for MA Comprehensive Examination or PhD Qualifying Examinations
Asian ,,598,Research for and Preparation of MA Thesis
Asian ,,599,Research for and Preparation of PhD Dissertation
Anthropology,ANTHRO ,1,Human Evolution
Anthropology,ANTHRO ,2,Archaeology: Introduction
Anthropology,ANTHRO ,M67W,Making and Studying Modern Middle East
Anthropology,ANTHRO ,88S,"Personal Choice, Societal Pressure, or Political Agenda: Cross-Cultural Analysis of Fertility Policies"
Anthropology,ANTHRO ,112R,Cities Past and Present
Anthropology,ANTHRO ,113Q,California Archaeology
Anthropology,ANTHRO ,118Q,Conquest and Colonialism
Anthropology,ANTHRO ,119,"Selected Topics in Archaeology: Public Spaces, Past and Present"
Anthropology,ANTHRO ,120,Survey of Biological Anthropology
Anthropology,ANTHRO ,124T,Evolution of Personality
Anthropology,ANTHRO ,129,"Selected Topics in Biological Anthropology: Current Research on Kindness: Psychological, Physical, and Social Dimensions"
Anthropology,ANTHRO ,129,Selected Topics in Biological Anthropology: Evolutionary Medicine
Anthropology,ANTHRO ,133,Anthropology of Food
Anthropology,ANTHRO ,135,Visual Anthropology: Documentary Photography
Anthropology,ANTHRO ,135R,Multimedia Ethnography
Anthropology,ANTHRO ,136A,Introduction to Psychological Anthropology: Historical Development
Anthropology,ANTHRO ,139,Selected Topics in Cultural Anthropology: Anthropology of Extreme Human Experience
Anthropology,ANTHRO ,M144P,Constructing Race
Anthropology,ANTHRO ,146,Urban Anthropology
Anthropology,ANTHRO ,149,Selected Topics in Social Anthropology: Disability Anthropology
Anthropology,ANTHRO ,M150,Language in Culture
Anthropology,ANTHRO ,159,Selected Topics in Linguistic Anthropology: Language and Culture in Sub-Saharan Africa
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Anthropology of Burma/Myanmar
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Ecology of Crime
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Lecture 2  
Astronomy,ASTR ,3,Nature of Universe
Astronomy,ASTR ,5,Life in Universe
Astronomy,ASTR ,19,Exploration of the Solar System
Astronomy,ASTR ,82,"Astrophysics II: Stellar Evolution, Galaxies, and Cosmology"
Astronomy,ASTR ,117,Radiation and Fluids in Astrophysics
Astronomy,ASTR ,140,Stellar Systems and Cosmology
Astronomy,ASTR ,180,Astrophysics Laboratory
Astronomy,ASTR ,275,Extragalactic Astrophysics II
Astronomy,ASTR ,279,Seminar: Current Astronomical Research
Astronomy,ASTR ,281,Quantum Mechanics for Astrophysics
Astronomy,ASTR ,286,"Exoplanets: Properties, Origin, and Evolution"
Astronomy,ASTR ,297,Practice of Scientific Presentations in Astronomy
Astronomy,ASTR ,375,Teaching Apprentice Practicum
Astronomy,ASTR ,596A,Directed Individual Studies
Astronomy,ASTR ,599,PhD Research and Writing
Arabic ,,1C,Elementary Standard Arabic
Arabic ,,102C,Intermediate Standard Arabic
Arabic ,,103C,Advanced Arabic
Arabic ,,250,Seminar: Premodern Arabic Literature
Arabic ,,596,Directed Individual Study
Arabic ,,597,Examination Preparation
Arabic ,,599,PhD Dissertation Research and Preparation
Communication,COMM ,1,Principles of Oral Communication
Communication,COMM ,10,Introduction to Communication
Communication,COMM ,89,Honors Seminars: Seminar 1  
Communication,COMM ,101,Freedom of Communication
Communication,COMM ,102,Principles of Argumentation
Communication,COMM ,107,Terrorism in Journalism
Communication,COMM ,110,Gender and Communication
Communication,COMM ,M117,Negotiation
Communication,COMM ,122,Visual Communication
Communication,COMM ,M125,Talk and Social Institutions
Communication,COMM ,133,Decoding Media Strategies
Communication,COMM ,140,Theory of Persuasive Communication
Communication,COMM ,146,Evolution of Mass Media Images
Communication,COMM ,M147,Sociology of Mass Communication
Communication,COMM ,148,Integrated Marketing Communications
Communication,COMM ,150,Methodologies in Communication Research
Communication,COMM ,154,Social Communication and New Technology
Communication,COMM ,155,Artificial Intelligence and New Media
Communication,COMM ,163,Public Diplomacy
Communication,COMM ,178,Propaganda and Media
Communication,COMM ,185,Field Studies in Communication
Communication,COMM ,186,"Media, Ethics, and Digital Age: Case-Study Approach"
Communication,COMM ,M191DC,"CAPPP Washington, DC, Research Seminars"
Communication,COMM ,191E,Variable Topics Research Seminars: Practicum: Seminar 1  
Communication,COMM ,198C,Honors Research in Communication Studies
Community Engagement and Social Change,CESC ,50XP,Engaging Los Angeles
Community Engagement and Social Change,CESC ,98B,Organizational Analysis and Workforce Readiness
Community Engagement and Social Change,CESC ,M122,Philanthropy as Civic Engagement
Community Engagement and Social Change,CESC ,151,Documentary Film Making as Strategy for Social Change
Community Engagement and Social Change,CESC ,M175SL,Addressing Social Determinants in Racial/Ethnic Minority Communities to Reduce and Prevent Health Disparities
Community Engagement and Social Change,CESC ,M190C,Community Engaged Research in Practice: Community Scholars
Community Engagement and Social Change,CESC ,191BX,Capstone Research Seminar: Projects
Community Engagement and Social Change,CESC ,375,Teaching Apprentice Practicum
Chemistry and Biochemistry,CHEM ,14A,General Chemistry for Life Scientists I
Chemistry and Biochemistry,CHEM ,14B,General Chemistry for Life Scientists II
Chemistry and Biochemistry,CHEM ,14BL,General and Organic Chemistry Laboratory I
Chemistry and Biochemistry,CHEM ,14C,Structure of Organic Molecules
Chemistry and Biochemistry,CHEM ,14CL,General and Organic Chemistry Laboratory II
Chemistry and Biochemistry,CHEM ,14D,Organic Reactions and Pharmaceuticals
Chemistry and Biochemistry,CHEM ,19,Fiat Lux Freshman Seminars: Seminar 1  
Chemistry and Biochemistry,CHEM ,20B,Chemical Energetics and Change
Chemistry and Biochemistry,CHEM ,20L,General Chemistry Laboratory
Chemistry and Biochemistry,CHEM ,30A,Organic Chemistry I: Structure and Reactivity
Chemistry and Biochemistry,CHEM ,30AL,General Chemistry Laboratory II
Chemistry and Biochemistry,CHEM ,30BL,Organic Chemistry Laboratory I
Chemistry and Biochemistry,CHEM ,30C,"Organic Chemistry III: Reactivity, Synthesis, and Biomolecules"
Chemistry and Biochemistry,CHEM ,98XA,PEERS Collaborative Learning Workshops for Life Sciences Majors
Chemistry and Biochemistry,CHEM ,98XB,PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors
Chemistry and Biochemistry,CHEM ,103,Environmental Chemistry
Chemistry and Biochemistry,CHEM ,C105,Introduction to Chemistry of Biology
Chemistry and Biochemistry,CHEM ,110A,Physical Chemistry: Chemical Thermodynamics
Chemistry and Biochemistry,CHEM ,110B,Physical Chemistry: Introduction to Statistical Mechanics and Kinetics
Chemistry and Biochemistry,CHEM ,113A,Physical Chemistry: Introduction to Quantum Mechanics
Chemistry and Biochemistry,CHEM ,114,Physical Chemistry Laboratory
Chemistry and Biochemistry,CHEM ,M120,Soft Matter Laboratory
Chemistry and Biochemistry,CHEM ,C126A,Computational Methods for Chemists
Chemistry and Biochemistry,CHEM ,136,Organic Structural Methods
Chemistry and Biochemistry,CHEM ,C143B,Mechanism and Structure in Organic Chemistry
Chicana/o and Central American Studies,CCAS ,M5C,Elementary Nahuatl
Chicana/o and Central American Studies,CCAS ,M15C,Intermediate Nahuatl
Chicana/o and Central American Studies,CCAS ,100XP,Barrio Organization and Service Learning
Chicana/o and Central American Studies,CCAS ,101,Theoretical Concepts in Chicana/Chicano Studies and Central American Studies
Chicana/o and Central American Studies,CCAS ,M102,Mexican Americans and Schools
Chicana/o and Central American Studies,CCAS ,104A,Art of Performance
Chicana/o and Central American Studies,CCAS ,M108A,"Music of Latin America: Mexico, Central America, and Caribbean Isles"
Chicana/o and Central American Studies,CCAS ,117,Chicana/Chicano Images in Mexican Film and Literature
Chicana/o and Central American Studies,CCAS ,120,Immigration and Chicano Community
Chicana/o and Central American Studies,CCAS ,M130,Worker Center Movement: Next Wave Organizing for Justice for Immigrant Workers
Chicana/o and Central American Studies,CCAS ,M136,Censored! Art on Trial
Chicana/o and Central American Studies,CCAS ,138A,"Space, Place, and Race"
Chicana/o and Central American Studies,CCAS ,143,Mestizaje: History of Diverse Racial/Cultural Roots of Mexico
Chicana/o and Central American Studies,CCAS ,143B,Afro-Latina/o Experience(s) in U.S.
Chicana/o and Central American Studies,CCAS ,M145B,Literature of Chicana/Chicano Movement
Chicana/o and Central American Studies,CCAS ,M148,"Politics of Struggle: Race, Solidarity, and Resistance"
Chicana/o and Central American Studies,CCAS ,M154,Contemporary Issues among Chicanas
Chicana/o and Central American Studies,CCAS ,M155B,U.S. Latino Politics
Chicana/o and Central American Studies,CCAS ,M156B,"Research on Immigration Rights, Labor, and Higher Education"
Chicana/o and Central American Studies,CCAS ,M162C,Advanced Nahuatl
Chicana/o and Central American Studies,CCAS ,163,Bilingual Advantage: Spanish Language Topics on Chicana/Chicano and Latin American Cultures
Chicana/o and Central American Studies,CCAS ,M167XP,Taking It to Street: Spanish in Community
Chicana/o and Central American Studies,CCAS ,M170XP,"Latinos, Linguistics, and Literacy"
Chicana/o and Central American Studies,CCAS ,M173,Nonviolence and Social Movements
Chicana/o and Central American Studies,CCAS ,C179,Language Politics and Policies in U.S.: Comparative History
Chinese,CHIN ,3,Elementary Modern Chinese
Chinese,CHIN ,3A,Elementary Modern Chinese for Advanced Beginners
Chinese,CHIN ,6,Intermediate Modern Chinese
Chinese,CHIN ,6A,Intermediate Modern Chinese for Advanced Students
Chinese,CHIN ,50,Chinese Civilization
Chinese,CHIN ,100C,Advanced Modern Chinese
Chinese,CHIN ,101C,Advanced Readings in Modern Chinese
Chinese,CHIN ,105B,Advanced Chinese Rhetoric and Critical Thinking
Chinese,CHIN ,110C,Introduction to Classical Chinese
Chinese,CHIN ,C150A,Lyrical Traditions
Chinese,CHIN ,C156,Variable Topics in Culture and Society in Taiwan: Survey of Contemporary Taiwanese Film
Chinese,CHIN ,C175,Introduction to Chinese Thought
Chinese,CHIN ,213A,Chinese-Language Cinemas
Chinese,CHIN ,C257,Variable Topics in Culture and Society in Taiwan: Lecture 1  
Civil and Environmental Engineering,C&EE ,M20,Introduction to Computer Programming with MATLAB
Civil and Environmental Engineering,C&EE ,103,Applied Numerical Computing and Modeling in Civil and Environmental Engineering
Civil and Environmental Engineering,C&EE ,108,Introduction to Mechanics of Deformable Solids
Civil and Environmental Engineering,C&EE ,110,Introduction to Probability and Statistics for Engineers
Civil and Environmental Engineering,C&EE ,123,Advanced Geotechnical Design
Civil and Environmental Engineering,C&EE ,125,Fundamentals of Earthquake Engineering
Civil and Environmental Engineering,C&EE ,129L,Engineering Geomatics
Civil and Environmental Engineering,C&EE ,130,Elementary Structural Mechanics
Civil and Environmental Engineering,C&EE ,M135C,Introduction to Finite Element Methods
Civil and Environmental Engineering,C&EE ,135L,Structural Design and Testing Laboratory
Civil and Environmental Engineering,C&EE ,140L,Structural Components and Systems Testing Laboratory
Civil and Environmental Engineering,C&EE ,143,Design of Prestressed Concrete Structures
Civil and Environmental Engineering,C&EE ,144,Structural Systems Design
Civil and Environmental Engineering,C&EE ,152,Hydraulic and Hydrologic Design
Civil and Environmental Engineering,C&EE ,156A,Environmental Chemistry Laboratory
Civil and Environmental Engineering,C&EE ,157C,Design of Wastewater Treatment Plants
Civil and Environmental Engineering,C&EE ,C158,Coastal Engineering
Civil and Environmental Engineering,C&EE ,C159,Green Infrastructure
Civil and Environmental Engineering,C&EE ,M165,Environmental Nanotechnology: Implications and Applications
Civil and Environmental Engineering,C&EE ,180,Introduction to Transportation Engineering
Civil and Environmental Engineering,C&EE ,C182,"Rigid and Flexible Pavements: Design, Materials, and Serviceability"
Civil and Environmental Engineering,C&EE ,194,Research Group Seminars: Civil and Environmental Engineering: Seminar 1  
Civil and Environmental Engineering,C&EE ,194,Research Group Seminars: Civil and Environmental Engineering: Seminar 2  
Civil and Environmental Engineering,C&EE ,200,Civil and Environmental Engineering Graduate Seminar
Civil and Environmental Engineering,C&EE ,206,Modeling and Simulation of Civil Engineering Materials
Conservation of Archaeological and Ethnographic Materials,CAEM ,596,Directed Individual Studies
Conservation of Archaeological and Ethnographic Materials,CAEM ,597,Preparation for PhD Qualifying Examination
Conservation of Archaeological and Ethnographic Materials,CAEM ,598,MA Thesis Preparation
Conservation of Archaeological and Ethnographic Materials,CAEM ,599,PhD Dissertation and Preparation
Dance ,,10,Beginning Martial Arts: Studio 1  
Dance ,,11,Yoga: Studio 1  
Dance ,,15,Beginning Modern/Postmodern Dance: Laboratory 1  
Dance ,,45,Introduction to Dance Studies
Dance ,,56,Intermediate West African Dance: Studio 1  
Dance ,,59,Intermediate Hip-Hop Dance: Studio 1  
Dance ,,60,Intermediate Martial Arts: Studio 1  
Dance ,,63,Intermediate Ballet: Studio 1  
Dance ,,65,Intermediate Modern/Postmodern Dance: Studio 1  
Dance ,,67B,Theories and Methods in Dance Composition II: Processes
Dance ,,70,Production Practicum
Dance ,,98TB,"Perception, Attention, and Action in Postmodern Dance Improvisation"
Dance ,,C106A,Advanced West African Dance: Studio 1  
Dance ,,C109A,Advanced Hip-Hop Dance: Studio 1  
Dance ,,C113A,Advanced Ballet: Studio 1  
Dance ,,C115,Advanced Modern/Postmodern Dance
Dance ,,116,Advanced Improvisation in Dance: Studio 1  
Dance ,,117A,Theories and Methods in Dance Composition III: Locations
Dance ,,117B,Theories and Methods in Dance Composition IV: Impacts
Dance ,,117C,Advanced Topics in Choreography: Lecture 1  
Dance ,,C145,Selected Topics in Dance Studies: Lecture 1  
Dance ,,C152,History and Theory of Modern/Postmodern Dance
Dance ,,170,Advanced Production
Dance ,,C174B,Projects in Dance: Laboratory 1  
Dance ,,C174B,Projects in Dance: Laboratory 2  
Design / Media Arts,DESMA ,9,"Art, Science, and Technology"
Design / Media Arts,DESMA ,21,Drawing and Color
Design / Media Arts,DESMA ,22,Form
Design / Media Arts,DESMA ,24,Motion
Design / Media Arts,DESMA ,28,Interactivity
Design / Media Arts,DESMA ,104,Design Futures
Design / Media Arts,DESMA ,153,Video
Design / Media Arts,DESMA ,154,Word + Image
Design / Media Arts,DESMA ,157,Game Design
Design / Media Arts,DESMA ,159A,Capstone Senior Project: Interactivity and Games
Design / Media Arts,DESMA ,159B,Capstone Senior Project: Video and Animation
Design / Media Arts,DESMA ,159C,Capstone Senior Project: Visual Communication and Image
Design / Media Arts,DESMA ,160,Special Topics in Design | Media Arts: Hybrid Animation
Design / Media Arts,DESMA ,160,Special Topics in Design | Media Arts: Infrastructure of Experience
Design / Media Arts,DESMA ,160,Special Topics in Design | Media Arts: Small Objects of Desire
Design / Media Arts,DESMA ,163,Narrative
Design / Media Arts,DESMA ,289,Special Topics in Media Arts: Cyberpunk and Its Discontents
Design / Media Arts,DESMA ,375,Teaching Apprentice Practicum
Design / Media Arts,DESMA ,403,Graduate Critique
Design / Media Arts,DESMA ,404,Graduate Tutorial
Design / Media Arts,DESMA ,596,Directed Individual Study or Research
Design / Media Arts,DESMA ,597,Preparation for MFA Comprehensive Examination
Dutch ,,103C,Intermediate Dutch
English,ENGL ,10A,Literatures in English to 1700
English,ENGL ,10C,"Literatures in English, 1850 to Present"
English,ENGL ,11,Introduction to American Cultures
English,ENGL ,M30,Environmental Literature and Culture
English,ENGL ,80,Major American Authors
English,ENGL ,87,"Topics in American Cultures: Castaways, Captives, and Converts"
English,ENGL ,91C,Introduction to Fiction
English,ENGL ,M101D,Studies in Queer Literatures and Cultures: Queer American Autobiography
English,ENGL ,M104C,African American Literature of 1960s and 1970s
English,ENGL ,M104D,Contemporary African American Literature
English,ENGL ,M107B,Studies in Gender and Sexuality: Renaissance Woman and Her Daughters
English,ENGL ,110C,"Public Readers, Public Writers: Writing about Books for 21st-Century Audience"
English,ENGL ,118B,Literature and Other Arts: Orpheus and Eurydice Project: Multimedia Avatars of Myth
English,ENGL ,119,Literary Cities: Literary Dublin: In the Heart of the Hibernian Metropolis
English,ENGL ,124,Theories of Religion: Time and Eternity in Monotheistic Traditions
English,ENGL ,M126,Feminist and Queer Theory: Queer of Color Feminisms
English,ENGL ,131,Studies in Postcolonial Literatures: Diving Deep: Postcolonial Perspectives on Oceanic Imaginary
English,ENGL ,132,"Culture and Imperialism: Introduction to Imperial, Transnational, and Postcolonial Literature"
English,ENGL ,135,Literature of Americas: Voices of Early Black Atlantic
English,ENGL ,136,Creative Writing: Poetry
English,ENGL ,137,Creative Writing: Short Story
English,ENGL ,M138,Topics in Creative Writing: Creative Nonfiction: Personal Writing
English,ENGL ,M138,Topics in Creative Writing: Experimental Life Writing
English,ENGL ,M138,Topics in Creative Writing: Seminar 6  
English,ENGL ,M138,Topics in Creative Writing: Writing About Food
English as A Second Language,ESL ,300,Intermediate Writing and Communication for International Graduate Students
English as A Second Language,ESL ,301,High-Intermediate Writing and Communication for International Graduate Students
English as A Second Language,ESL ,310,Pronunciation for International Teaching Assistants
English as A Second Language,ESL ,311,Classroom Communication for International Teaching Assistants I
English as A Second Language,ESL ,313,Presentation and Discussion-Leading Skills for International Teaching Assistants
Economics,ECON ,1,Principles of Economics
Economics,ECON ,2,Principles of Economics
Economics,ECON ,11,Microeconomic Theory
Economics,ECON ,41,Probability and Statistics for Economists
Economics,ECON ,101,Microeconomic Theory
Economics,ECON ,102,Macroeconomic Theory
Economics,ECON ,103,Introduction to Econometrics
Economics,ECON ,103L,Econometrics Laboratory
Economics,ECON ,104,Data Science for Economists
Economics,ECON ,104L,Data Science for Economists Laboratory
Economics,ECON ,106G,Introduction to Game Theory
Economics,ECON ,106GL,Introduction to Game Theory Laboratory
Economics,ECON ,106M,Financial Markets and Financial Institutions
Economics,ECON ,106ML,Financial Markets and Financial Institutions Laboratory
Economics,ECON ,107,History of Economic Theory
Economics,ECON ,M112A,International Development
Economics,ECON ,113,Globalization and Gender
Economics,ECON ,122,International Finance
Economics,ECON ,131,Economics of Health and Healthcare
Economics,ECON ,134,Environmental Economics
Economics,ECON ,143,Advanced Econometrics
Economics,ECON ,148,Behavioral Economics
Economics,ECON ,152,"Women, Men, and Economy"
Economics,ECON ,152L,"Women, Men, and Economy Laboratory"
Economics,ECON ,160,Money and Banking
Education,EDUC ,10,Introduction to Educational Issues and Scholarship
Education,EDUC ,35,Introduction to Inquiry and Research in Education
Education,EDUC ,98,Critical Issues in Education
Education,EDUC ,M102,Mexican Americans and Schools
Education,EDUC ,M104,Introduction to Arts Education for Multiple Publics: Theory and Practice
Education,EDUC ,M108,Sociology of Education
Education,EDUC ,118,Sociology of Community Colleges
Education,EDUC ,133,Topics in Child Development and Social Policies
Education,EDUC ,134,Introduction to Exceptional Learners
Education,EDUC ,M136,Working Families and Educational Inequalities in Urban Schools
Education,EDUC ,141,Adolescent Development
Education,EDUC ,152,Introduction to Quantitative Research in Education: Regression Analysis
Education,EDUC ,152C,Global Citizenship Education
Education,EDUC ,156,Introduction to Qualitative Research in Education for Social Transformation
Education,EDUC ,180,Orientation to Community Engagement
Education,EDUC ,181,Capstone in Education and Social Transformation
Education,EDUC ,187,"Variable Topics in Education: Democracy, Justice, and Education"
Education,EDUC ,187,Variable Topics in Education: Early Education Policy in U.S.
Education,EDUC ,191A,Current Issues in Education: Dialog across Difference
Education,EDUC ,191A,Current Issues in Education: Dialog across Difference
Education,EDUC ,191A,Current Issues in Education: Dialog across Difference
Education,EDUC ,C192A,Practicum in Intergroup Dialogue Facilitation
Education,EDUC ,195CE,Community or Corporate Internships in Education
Education,EDUC ,196C,Instructional Apprenticeship in Teaching and Learning at UCLA Lab School
Education,EDUC ,196D,Instructional Apprenticeship in Teaching and Learning at UCLA Partner Schools
Epidemiology,EPIDEM ,100,Principles of Epidemiology
Epidemiology,EPIDEM ,CM175,"Terrorism, Counterterrorism, and Weapons of Mass Destruction: Practical Approach"
Epidemiology,EPIDEM ,200C,Methods III: Analysis
Epidemiology,EPIDEM ,215,Systematic Review and Meta-Analysis
Epidemiology,EPIDEM ,217,Social Networks and Public Health
Epidemiology,EPIDEM ,227,AIDS: Major Public Health Challenge
Epidemiology,EPIDEM ,230,Epidemiology of Sexually Transmitted Diseases
Epidemiology,EPIDEM ,240,Cardiovascular Epidemiology
